# RTL_ID 20111300
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
#             85 ns : Core Reset
# =====================================================================================
# Test: add.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             125   N   xxxxxxxx   00000000   00000240   ---        --------
             155   N   00000240   0000e101   00000244   x10_a0     00000000
             165   N   00000244   00004e01   00000246   ---        --------
             175   N   00000246   00000297   00000248   x28_t3     00000000
             185   N   00000248   fb828293   0000024c   x05_t0     00000248
             195   N   0000024c   30529073   00000250   x05_t0     00000200
             205   N   00000250   00004505   00000254   ---        --------
             215   N   00000254   0000057e   00000256   x10_a0     00000001
             225   N   00000256   00054863   00000258   x10_a0     80000000
             235   N   00000258   0ff0000f   00000268   ---        --------
             265   N   00000268   d9828293   0000026c   x05_t0     00000268
             275   N   0000026c   00028e63   00000270   x05_t0     00000000
             285   N   00000270   10529073   0000028c   ---        --------
             315   N   0000028c   00000297   00000290   ---        --------
             325   N   00000290   00000297   00000290   ---        --------
             335   N   00000290   05028293   00000294   x05_t0     00000290
             345   N   00000294   34129073   00000298   x05_t0     000002e0
             355   N   00000298   f1402573   0000029c   ---        --------
             365   N   0000029c   30200073   000002a0   x10_a0     00000000
             385   N   000002a0   00000000   000002e0   ---        --------
             415   N   000002e0   00004101   000002e2   x01_ra     00000000
             425   N   000002e2   002081b3   000002e4   x02_sp     00000000
             435   N   000002e4   00004e81   000002e8   x03_gp     00000000
             445   N   000002e8   00004e09   000002ea   x29_t4     00000000
             455   N   000002ea   37d19d63   000002ec   x28_t3     00000002
             465   N   000002ec   00004085   000002f0   ---        --------
             475   N   000002f0   00004105   000002f2   x01_ra     00000001
             485   N   000002f2   002081b3   000002f4   x02_sp     00000001
             495   N   000002f4   00004e89   000002f8   x03_gp     00000002
             505   N   000002f8   00004e0d   000002fa   x29_t4     00000002
             515   N   000002fa   37d19563   000002fc   x28_t3     00000003
             525   N   000002fc   0000408d   00000300   ---        --------
             535   N   00000300   0000411d   00000302   x01_ra     00000003
             545   N   00000302   002081b3   00000304   x02_sp     00000007
             555   N   00000304   00004ea9   00000308   x03_gp     0000000a
             565   N   00000308   00004e11   0000030a   x29_t4     0000000a
             575   N   0000030a   35d19d63   0000030c   x28_t3     00000004
             585   N   0000030c   00004081   00000310   ---        --------
             595   N   00000310   ffff8137   00000312   x01_ra     00000000
             605   N   00000312   408181b3   00000316   x02_sp     ffff8000
             625   N   00000316   ffff8eb7   0000031a   x03_gp     ffff8000
             645   N   0000031a   00004e15   0000031e   x29_t4     ffff8000
             655   N   0000031e   35d19363   00000320   x28_t3     00000005
             665   N   00000320   800000b7   00000324   ---        --------
             675   N   00000324   00004101   00000328   x01_ra     80000000
             685   N   00000328   002081b3   0000032a   x02_sp     00000000
             695   N   0000032a   41010eb7   0000032e   x03_gp     80000000
             715   N   0000032e   00004e19   00000332   x29_t4     80000000
             725   N   00000332   33d19963   00000334   x28_t3     00000006
             735   N   00000334   800000b7   00000338   ---        --------
             745   N   00000338   ffff8137   0000033c   x01_ra     80000000
             755   N   0000033c   002081b3   00000340   x02_sp     ffff8000
             765   N   00000340   7fff8eb7   00000344   x03_gp     7fff8000
             775   N   00000344   00004e1d   00000348   x29_t4     7fff8000
             785   N   00000348   31d19e63   0000034a   x28_t3     00000007
             795   N   0000034a   00004081   0000034e   ---        --------
             805   N   0000034e   00008137   00000350   x01_ra     00000000
             815   N   00000350   fff10113   00000354   x02_sp     00008000
             825   N   00000354   002081b3   00000358   x02_sp     00007fff
             835   N   00000358   00008eb7   0000035c   x03_gp     00007fff
             845   N   0000035c   fffe8e93   00000360   x29_t4     00008000
             855   N   00000360   00004e21   00000364   x29_t4     00007fff
             865   N   00000364   31d19063   00000366   x28_t3     00000008
             875   N   00000366   4e2100b7   0000036a   ---        --------
             895   N   0000036a   31d18093   0000036e   x01_ra     80000000
             915   N   0000036e   00004101   00000372   x01_ra     7fffffff
             925   N   00000372   002081b3   00000374   x02_sp     00000000
             935   N   00000374   80000eb7   00000378   x03_gp     7fffffff
             945   N   00000378   fffe8e93   0000037c   x29_t4     80000000
             955   N   0000037c   00004e25   00000380   x29_t4     7fffffff
             965   N   00000380   2fd19263   00000382   x28_t3     00000009
             975   N   00000382   4e2500b7   00000386   ---        --------
             995   N   00000386   2fd18093   0000038a   x01_ra     80000000
            1015   N   0000038a   80008137   0000038e   x01_ra     7fffffff
            1035   N   0000038e   fff00113   00000392   x02_sp     00008000
            1055   N   00000392   000081b3   00000396   x02_sp     00007fff
            1075   N   00000396   fff18eb7   0000039a   x03_gp     80007ffe
            1095   N   0000039a   00208e93   0000039e   x29_t4     80008000
            1115   N   0000039e   00004e29   000003a2   x29_t4     80007ffe
            1125   N   000003a2   2dd19163   000003a4   x28_t3     0000000a
            1135   N   000003a4   800000b7   000003a8   ---        --------
            1145   N   000003a8   00008137   000003ac   x01_ra     80000000
            1155   N   000003ac   fff10113   000003b0   x02_sp     00008000
            1165   N   000003b0   002081b3   000003b4   x02_sp     00007fff
            1175   N   000003b4   80008eb7   000003b8   x03_gp     80007fff
            1185   N   000003b8   fffe8e93   000003bc   x29_t4     80008000
            1195   N   000003bc   00004e2d   000003c0   x29_t4     80007fff
            1205   N   000003c0   2bd19263   000003c2   x28_t3     0000000b
            1215   N   000003c2   4e2d00b7   000003c6   ---        --------
            1235   N   000003c6   2bd18093   000003ca   x01_ra     80000000
            1255   N   000003ca   80008137   000003ce   x01_ra     7fffffff
            1275   N   000003ce   fff081b3   000003d2   x02_sp     ffff8000
            1295   N   000003d2   ffff8eb7   000003d6   x03_gp     7fff7fff
            1315   N   000003d6   00208e93   000003da   x29_t4     7fff8000
            1335   N   000003da   00004e31   000003de   x29_t4     7fff7fff
            1345   N   000003de   29d19363   000003e0   x28_t3     0000000c
            1355   N   000003e0   00004081   000003e4   ---        --------
            1365   N   000003e4   fff00113   000003e6   x01_ra     00000000
            1375   N   000003e6   408181b3   000003ea   x02_sp     ffffffff
            1395   N   000003ea   fff00e93   000003ee   x03_gp     ffffffff
            1415   N   000003ee   00004e35   000003f2   x29_t4     ffffffff
            1425   N   000003f2   27d19963   000003f4   x28_t3     0000000d
            1435   N   000003f4   fff00093   000003f8   ---        --------
            1445   N   000003f8   00004105   000003fc   x01_ra     ffffffff
            1455   N   000003fc   002081b3   000003fe   x02_sp     00000001
            1465   N   000003fe   00004e81   00000402   x03_gp     00000000
            1475   N   00000402   00004e39   00000404   x29_t4     00000000
            1485   N   00000404   27d19063   00000406   x28_t3     0000000e
            1495   N   00000406   4e390093   0000040a   ---        --------
            1515   N   0000040a   27d10113   0000040e   x01_ra     ffffffff
            1535   N   0000040e   fff081b3   00000412   x02_sp     ffffffff
            1555   N   00000412   fff00e93   00000416   x03_gp     fffffffe
            1575   N   00000416   00004e3d   0000041a   x29_t4     fffffffe
            1585   N   0000041a   25d19563   0000041c   x28_t3     0000000f
            1595   N   0000041c   00004085   00000420   ---        --------
            1605   N   00000420   80000137   00000422   x01_ra     00000001
            1615   N   00000422   40850113   00000426   x02_sp     80000000
            1635   N   00000426   800081b3   0000042a   x02_sp     7fffffff
            1655   N   0000042a   fff10eb7   0000042e   x03_gp     80000000
            1675   N   0000042e   00004e41   00000432   x29_t4     80000000
            1685   N   00000432   23d19963   00000434   x28_t3     00000010
            1695   N   00000434   000040b5   00000438   ---        --------
            1705   N   00000438   0000412d   0000043a   x01_ra     0000000d
            1715   N   0000043a   0000908a   0000043c   x02_sp     0000000b
            1725   N   0000043c   00004ee1   0000043e   x01_ra     00000018
